ThesName;KeyName_de;KeyName_en;AbsolutePath
ÖFOS;1 - NATURWISSENSCHAFTEN;1 - NATURWISSENSCHAFTEN;
ÖFOS;101 Mathematik;101 Mathematik;1 - NATURWISSENSCHAFTEN
ÖFOS;1010 Mathematik;1010 Mathematik;1 - NATURWISSENSCHAFTEN/101 Mathematik
ÖFOS;101001 Algebra;101001 Algebra;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101002 Analysis;101002 Analysis ;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101003 Angewandte Geometrie;101003 Applied geometry;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101004 Biomathematik;101004 Biomathematics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101005 Computeralgebra;101005 Computer algebra ;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101006 Differentialgeometrie;101006 Differential geometry;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101007 Finanzmathematik;101007 Financial mathematics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101008 Funktionentheorie;101008 Complex analysis;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101009 Geometrie;101009 Geometry ;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101010 Geschichte der Mathematik;101010 History of mathematics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101011 Graphentheorie;101011 Graph theory;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101012 Kombinatorik;101012 Combinatorics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101013 Mathematische Logik;101013 Mathematical logic ;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101014 Numerische Mathematik;101014 Numerical mathematics ;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101015 Operations Research;101015 Operations research;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101016 Optimierung;101016 Optimisation;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101017 Spieltheorie;101017 Game theory;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101018 Statistik;101018 Statistics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101019 Stochastik;101019 Stochastics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101020 Technische Mathematik;101020 Technical mathematics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101021 Theoretische Kybernetik;101021 Theoretical cybernetics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101022 Topologie;101022 Topology;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101023 Versicherungsmathematik;101023 Actuarial mathematics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101024 Wahrscheinlichkeitstheorie;101024 Probability theory ;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101025 Zahlentheorie;101025 Number theory;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101026 Zeitreihenanalyse;101026 Time series analysis;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101027 Dynamische Systeme;101027 Dynamical systems;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101028 Mathematische Modellierung;101028 Mathematical modelling;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101029 Mathematische Statistik;101029 Mathematical statistics;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;101030 ZuverlÖssigkeitstheorie;101030 Reliability theory;1 - NATURWISSENSCHAFTEN/101 Mathematik/1010 Mathematik
ÖFOS;102 Informatik;102 Informatik;1 - NATURWISSENSCHAFTEN
ÖFOS;1020 Informatik;1020 Informatik;1 - NATURWISSENSCHAFTEN/102 Informatik
ÖFOS;102001 Artificial Intelligence;102001 Artificial intelligence;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102002 Augmented Reality;102002 Augmented reality;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102003 Bildverarbeitung;102003 Image processing;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102004 Bioinformatik;102004 Bioinformatics;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102005 Computer Aided Design (CAD);102005 Computer aided design (CAD);1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102006 Computer Supported Cooperative Work (CSCW);102006 Computer supported cooperative work (CSCW);1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102007 Computeranimation;102007 Computer animation;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102008 Computergraphik;102008 Computer graphics;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102009 Computersimulation;102009 Computer simulation;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102010 Datenbanksysteme;102010 Database systems;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102011 Formale Sprachen;102011 Formal languages;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102012 Geschichte der Informatik;102012 History of computer science;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102013 Human-Computer Interaction;102013 Human-computer interaction;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102014 Informationsdesign;102014 Information design;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102015 Informationssysteme;102015 Information systems;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102016 IT-Sicherheit;102016 IT security ;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102017 Kryptologie;102017 Cryptology;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102018 KÖnstliche Neuronale Netze;102018 Artificial neural networks;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102019 Machine Learning;102019 Machine learning;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102020 Medizinische Informatik;102020 Medical informatics;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102021 Pervasive Computing;102021 Pervasive computing;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102022 Softwareentwicklung;102022 Software development;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102023 Supercomputing;102023 Supercomputing;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102024 Usability Research;102024 Usability research;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102025 Verteilte Systeme;102025 Distributed systems;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102026 Virtual Reality;102026 Virtual reality;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102027 Web Engineering;102027 Web engineering;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102028 Knowledge Engineering;102028 Knowledge engineering;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102029 Praktische Informatik;102029 Practical computer science;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102030 Semantische Technologien;102030 Semantic technologies;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102031 Theoretische Informatik;102031 Theoretical computer science;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102032 Computational Intelligence;102032 Computational intelligence;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102033 Data Mining;102033 Data mining;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
